trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
497794246,1,4/1/2025 0:03,4/1/2025 0:04,4512,34.043812,-118.264969,4512,34.043812,-118.264969,19854,30,Round Trip,Monthly Pass,electric
497794374,5,4/1/2025 0:06,4/1/2025 0:11,4512,34.043812,-118.264969,3005,34.0485,-118.258537,19854,30,One Way,Monthly Pass,electric
497794444,6,4/1/2025 0:09,4/1/2025 0:15,4538,34.06543,-118.308823,4524,34.06163,-118.301193,15902,30,One Way,Monthly Pass,standard
497794638,9,4/1/2025 0:20,4/1/2025 0:29,3005,34.0485,-118.258537,4315,34.054031,-118.27092,19854,30,One Way,Monthly Pass,electric
497794649,7,4/1/2025 0:22,4/1/2025 0:29,3005,34.0485,-118.258537,3074,34.04417,-118.261169,29600,30,One Way,Monthly Pass,electric
497796120,35,4/1/2025 0:30,4/1/2025 1:05,4315,34.054031,-118.27092,4538,34.06543,-118.308823,19854,30,One Way,Monthly Pass,electric
497796095,20,4/1/2025 0:42,4/1/2025 1:02,3054,34.039219,-118.236488,3082,34.04652,-118.237411,15575,1,One Way,Walk-up,standard
497796174,29,4/1/2025 0:44,4/1/2025 1:13,4534,34.10186,-118.32811,4534,34.10186,-118.32811,23041,30,Round Trip,Monthly Pass,electric
497796298,42,4/1/2025 0:45,4/1/2025 1:27,4536,33.989079,-118.462257,4536,33.989079,-118.462257,05784,30,Round Trip,Monthly Pass,standard
497796273,26,4/1/2025 0:59,4/1/2025 1:24,3075,34.04211,-118.256187,3019,34.038609,-118.260857,20113,1,One Way,One Day Pass,standard
497796223,11,4/1/2025 1:07,4/1/2025 1:18,4538,34.06543,-118.308823,4450,34.063492,-118.287163,19854,30,One Way,Monthly Pass,electric
497797935,55,4/1/2025 1:15,4/1/2025 2:10,4534,34.10186,-118.32811,4584,34.094349,-118.326363,23041,30,One Way,Monthly Pass,electric
497796345,11,4/1/2025 1:19,4/1/2025 1:30,4450,34.063492,-118.287163,4315,34.054031,-118.27092,24896,30,One Way,Monthly Pass,electric
497796410,2,4/1/2025 1:33,4/1/2025 1:35,3019,34.038609,-118.260857,3019,34.038609,-118.260857,15462,1,Round Trip,One Day Pass,standard
497796464,3,4/1/2025 1:36,4/1/2025 1:39,3019,34.038609,-118.260857,4217,34.04031,-118.25827,13714,1,One Way,One Day Pass,standard
497796542,9,4/1/2025 1:39,4/1/2025 1:48,4454,34.017899,-118.291718,4250,34.03017,-118.280952,28900,30,One Way,Monthly Pass,electric
498378283,1440,4/1/2025 1:40,4/4/2025 17:19,4217,34.04031,-118.25827,3075,34.04211,-118.256187,13583,1,One Way,One Day Pass,standard
497798238,58,4/1/2025 1:52,4/1/2025 2:50,3006,34.04554,-118.256668,4312,34.06699,-118.290878,29129,1,One Way,Walk-up,electric
497798152,26,4/1/2025 2:12,4/1/2025 2:38,3032,34.049889,-118.255882,4512,34.043812,-118.264969,13268,365,One Way,Annual Pass,standard
497798087,7,4/1/2025 2:23,4/1/2025 2:30,4250,34.03017,-118.280952,4454,34.017899,-118.291718,28900,30,One Way,Monthly Pass,electric
497799697,44,4/1/2025 2:24,4/1/2025 3:08,4491,34.04744,-118.24794,3014,34.05661,-118.237213,13948,1,One Way,Walk-up,standard
497798283,13,4/1/2025 2:43,4/1/2025 2:56,4512,34.043812,-118.264969,4680,34.043522,-118.255089,13268,365,One Way,Annual Pass,standard
497798300,5,4/1/2025 2:53,4/1/2025 2:58,4304,34.06258,-118.290092,4450,34.063492,-118.287163,15878,30,One Way,Monthly Pass,standard
497799704,10,4/1/2025 2:57,4/1/2025 3:07,4680,34.043522,-118.255089,3032,34.049889,-118.255882,30647,365,One Way,Annual Pass,electric
497799705,10,4/1/2025 2:59,4/1/2025 3:09,4450,34.063492,-118.287163,4401,34.075611,-118.291862,19854,30,One Way,Monthly Pass,electric
497799726,7,4/1/2025 3:18,4/1/2025 3:25,3052,34.051102,-118.264557,3076,34.0406,-118.253838,12418,30,One Way,Monthly Pass,standard
497799803,16,4/1/2025 3:21,4/1/2025 3:37,4584,34.094349,-118.326363,4537,34.098228,-118.338821,15584,30,One Way,Monthly Pass,standard
497799876,24,4/1/2025 3:27,4/1/2025 3:51,4443,34.022091,-118.279793,4443,34.022091,-118.279793,05835,1,Round Trip,Walk-up,standard
497799855,6,4/1/2025 3:43,4/1/2025 3:49,4446,34.05323,-118.278419,3035,34.048401,-118.260948,30374,365,One Way,Annual Pass,electric
497801261,6,4/1/2025 4:08,4/1/2025 4:14,4645,34.023411,-118.429008,4564,34.035351,-118.434143,19429,30,One Way,Monthly Pass,electric
497801350,29,4/1/2025 4:13,4/1/2025 4:42,4447,34.0616,-118.28199,4450,34.063492,-118.287163,28692,30,One Way,Monthly Pass,electric
497801323,22,4/1/2025 4:16,4/1/2025 4:38,3042,34.049301,-118.238808,4491,34.04744,-118.24794,13992,1,One Way,One Day Pass,standard
497801393,7,4/1/2025 4:39,4/1/2025 4:47,4445,34.073639,-118.251572,3014,34.05661,-118.237213,29109,365,One Way,Annual Pass,electric
497802780,29,4/1/2025 4:43,4/1/2025 5:12,4450,34.063492,-118.287163,4450,34.063492,-118.287163,28692,30,Round Trip,Monthly Pass,electric
497802820,3,4/1/2025 5:19,4/1/2025 5:22,4450,34.063492,-118.287163,4304,34.06258,-118.290092,28692,30,One Way,Monthly Pass,electric
497802894,7,4/1/2025 5:45,4/1/2025 5:52,4217,34.04031,-118.25827,3005,34.0485,-118.258537,13714,365,One Way,Annual Pass,standard
497802917,5,4/1/2025 5:51,4/1/2025 5:56,4569,34.02655,-118.408463,4558,34.025688,-118.395302,05901,30,One Way,Monthly Pass,standard
497804256,1,4/1/2025 6:04,4/1/2025 6:05,4556,34.009022,-118.425011,4556,34.009022,-118.425011,22735,30,Round Trip,Monthly Pass,electric
497804311,9,4/1/2025 6:05,4/1/2025 6:14,4556,34.009022,-118.425011,4575,34.000309,-118.402527,22735,30,One Way,Monthly Pass,electric
497804386,16,4/1/2025 6:06,4/1/2025 6:22,3034,34.042061,-118.263382,3014,34.05661,-118.237213,15681,365,One Way,Annual Pass,standard
497804505,7,4/1/2025 6:08,4/1/2025 6:15,4479,34.031502,-118.288742,3000,,,06127,30,One Way,Monthly Pass,standard
497804462,9,4/1/2025 6:11,4/1/2025 6:20,3027,34.04998,-118.247162,3000,,,12311,30,One Way,Monthly Pass,standard
497804348,4,4/1/2025 6:14,4/1/2025 6:18,4562,34.02697,-118.428207,4564,34.035351,-118.434143,19983,30,One Way,Monthly Pass,standard
497804515,16,4/1/2025 6:19,4/1/2025 6:35,4564,34.035351,-118.434143,4613,34.069752,-118.445351,19429,30,One Way,Monthly Pass,electric
497804448,4,4/1/2025 6:25,4/1/2025 6:29,4576,34.022579,-118.40551,4568,34.029121,-118.403168,21987,30,One Way,Monthly Pass,electric
497804829,27,4/1/2025 6:27,4/1/2025 6:54,3007,34.05048,-118.254593,3069,34.05088,-118.248253,20257,1,One Way,Walk-up,standard
497804552,5,4/1/2025 6:33,4/1/2025 6:38,3014,34.05661,-118.237213,3016,34.052898,-118.241562,29109,30,One Way,Monthly Pass,electric
497804615,5,4/1/2025 6:38,4/1/2025 6:43,4601,34.161709,-118.372818,4606,34.168629,-118.377068,05921,30,One Way,Monthly Pass,standard
497804751,10,4/1/2025 6:41,4/1/2025 6:51,4672,34.045021,-118.253189,3036,34.039188,-118.232529,26554,30,One Way,Monthly Pass,electric
497804670,5,4/1/2025 6:42,4/1/2025 6:47,4479,34.031502,-118.288742,4245,34.02404,-118.283409,13949,30,One Way,Monthly Pass,standard
497804698,7,4/1/2025 6:42,4/1/2025 6:49,3014,34.05661,-118.237213,3030,34.051941,-118.24353,15681,30,One Way,Monthly Pass,standard
497804702,6,4/1/2025 6:43,4/1/2025 6:49,4450,34.063492,-118.287163,4524,34.06163,-118.301193,14776,30,One Way,Monthly Pass,standard
497806239,12,4/1/2025 6:51,4/1/2025 7:03,4248,34.028351,-118.288673,4245,34.02404,-118.283409,15737,30,One Way,Monthly Pass,standard
497806674,25,4/1/2025 6:52,4/1/2025 7:17,3062,34.047749,-118.243172,3063,34.048038,-118.253738,12306,1,One Way,One Day Pass,standard
497806314,12,4/1/2025 6:56,4/1/2025 7:08,4549,34.022449,-118.438332,4546,34.031399,-118.453629,14869,30,One Way,Monthly Pass,standard
497810842,78,4/1/2025 6:57,4/1/2025 8:15,4566,34.023392,-118.399223,4566,34.023392,-118.399223,13548,30,Round Trip,Monthly Pass,standard
497807384,44,4/1/2025 6:57,4/1/2025 7:41,3069,34.05088,-118.248253,4490,34.053551,-118.255836,24215,1,One Way,Walk-up,electric
497806940,24,4/1/2025 7:05,4/1/2025 7:29,4664,34.055161,-118.30899,4390,34.069271,-118.296593,30084,30,One Way,Monthly Pass,electric
497810531,62,4/1/2025 7:07,4/1/2025 8:09,4215,34.014309,-118.491341,4215,34.014309,-118.491341,21930,1,Round Trip,One Day Pass,electric
497807012,19,4/1/2025 7:11,4/1/2025 7:30,4215,34.014309,-118.491341,4514,34.046211,-118.451172,23628,30,One Way,Monthly Pass,electric
497806908,17,4/1/2025 7:11,4/1/2025 7:28,4445,34.073639,-118.251572,4540,34.04776,-118.22541,30613,365,One Way,Annual Pass,electric
497828090,204,4/1/2025 7:14,4/1/2025 10:39,3063,34.048038,-118.253738,3062,34.047749,-118.243172,29881,1,One Way,One Day Pass,electric
497806881,9,4/1/2025 7:18,4/1/2025 7:27,4454,34.017899,-118.291718,4250,34.03017,-118.280952,28900,30,One Way,Monthly Pass,electric
497807712,24,4/1/2025 7:22,4/1/2025 7:46,3066,34.063389,-118.23616,3066,34.063389,-118.23616,25395,1,Round Trip,Walk-up,electric
497807217,5,4/1/2025 7:30,4/1/2025 7:35,4390,34.069271,-118.296593,4304,34.06258,-118.290092,25591,30,One Way,Monthly Pass,electric
497807669,12,4/1/2025 7:33,4/1/2025 7:45,4445,34.073639,-118.251572,4491,34.04744,-118.24794,26467,30,One Way,Monthly Pass,electric
497807346,6,4/1/2025 7:33,4/1/2025 7:39,3014,34.05661,-118.237213,3030,34.051941,-118.24353,22252,30,One Way,Monthly Pass,electric
497808011,16,4/1/2025 7:35,4/1/2025 7:51,4644,34.061859,-118.45002,4614,34.07365,-118.439842,24059,1,One Way,Walk-up,electric
497807588,7,4/1/2025 7:37,4/1/2025 7:44,3014,34.05661,-118.237213,3030,34.051941,-118.24353,13948,30,One Way,Monthly Pass,standard
497807465,5,4/1/2025 7:37,4/1/2025 7:42,3014,34.05661,-118.237213,3030,34.051941,-118.24353,13709,30,One Way,Monthly Pass,standard
497807990,12,4/1/2025 7:38,4/1/2025 7:50,4486,34.06126,-118.258598,3075,34.04211,-118.256187,23652,30,One Way,Monthly Pass,electric
497807981,8,4/1/2025 7:42,4/1/2025 7:50,4250,34.03017,-118.280952,4454,34.017899,-118.291718,28900,30,One Way,Monthly Pass,electric
497807802,4,4/1/2025 7:43,4/1/2025 7:47,3005,34.0485,-118.258537,4512,34.043812,-118.264969,13977,30,One Way,Monthly Pass,standard
497807805,3,4/1/2025 7:44,4/1/2025 7:47,3022,34.04607,-118.233093,3042,34.049301,-118.238808,12920,30,One Way,Monthly Pass,standard
497808129,6,4/1/2025 7:46,4/1/2025 7:52,4596,34.168331,-118.396156,4606,34.168629,-118.377068,29995,1,One Way,Walk-up,electric
497808273,7,4/1/2025 7:48,4/1/2025 7:55,4518,34.057968,-118.299751,4456,34.052429,-118.302017,20157,30,One Way,Monthly Pass,standard
497808230,6,4/1/2025 7:48,4/1/2025 7:54,4304,34.06258,-118.290092,4311,34.059689,-118.294662,25591,30,One Way,Monthly Pass,electric
497808232,4,4/1/2025 7:50,4/1/2025 7:54,4311,34.059689,-118.294662,4304,34.06258,-118.290092,16085,30,One Way,Monthly Pass,standard
497808611,9,4/1/2025 7:50,4/1/2025 7:59,4546,34.031399,-118.453629,4549,34.022449,-118.438332,14869,30,One Way,Monthly Pass,standard
497817832,88,4/1/2025 7:51,4/1/2025 9:19,4246,34.023708,-118.279167,4558,34.025688,-118.395302,12382,30,One Way,Monthly Pass,standard
497808314,3,4/1/2025 7:52,4/1/2025 7:55,4250,34.03017,-118.280952,4273,34.02586,-118.284103,13573,30,One Way,Monthly Pass,standard
497810436,10,4/1/2025 7:54,4/1/2025 8:04,4312,34.06699,-118.290878,3000,,,29129,30,One Way,Monthly Pass,electric
497808478,2,4/1/2025 7:55,4/1/2025 7:57,4643,34.07262,-118.44944,4613,34.069752,-118.445351,25429,30,One Way,Monthly Pass,electric
497811390,31,4/1/2025 7:57,4/1/2025 8:28,4456,34.052429,-118.302017,4548,34.026829,-118.393517,30432,30,One Way,Monthly Pass,electric
497810175,5,4/1/2025 7:59,4/1/2025 8:04,4643,34.07262,-118.44944,4614,34.07365,-118.439842,30348,30,One Way,Monthly Pass,electric
497810237,4,4/1/2025 8:00,4/1/2025 8:04,4304,34.06258,-118.290092,4444,34.061619,-118.305573,28692,365,One Way,Annual Pass,electric
497810252,4,4/1/2025 8:01,4/1/2025 8:05,3042,34.049301,-118.238808,3022,34.04607,-118.233093,12252,30,One Way,Monthly Pass,standard
497811601,27,4/1/2025 8:05,4/1/2025 8:32,4545,33.95879,-118.44828,4536,33.989079,-118.462257,15799,1,One Way,Walk-up,standard
497810640,6,4/1/2025 8:05,4/1/2025 8:11,3014,34.05661,-118.237213,3030,34.051941,-118.24353,12018,30,One Way,Monthly Pass,standard
497810575,4,4/1/2025 8:05,4/1/2025 8:09,3022,34.04607,-118.233093,3042,34.049301,-118.238808,12117,30,One Way,Monthly Pass,standard
497810889,9,4/1/2025 8:07,4/1/2025 8:16,4510,34.077351,-118.264549,4473,34.07159,-118.282288,15426,1,One Way,Walk-up,standard
497810887,9,4/1/2025 8:07,4/1/2025 8:16,4549,34.022449,-118.438332,4546,34.031399,-118.453629,14869,1,One Way,Walk-up,standard
497811218,15,4/1/2025 8:08,4/1/2025 8:23,4479,34.031502,-118.288742,4227,34.0298,-118.270309,15128,30,One Way,Monthly Pass,standard
497810930,5,4/1/2025 8:11,4/1/2025 8:16,3075,34.04211,-118.256187,3047,34.039982,-118.266403,23652,30,One Way,Monthly Pass,electric
497811436,15,4/1/2025 8:14,4/1/2025 8:29,3042,34.049301,-118.238808,3037,34.034801,-118.231277,15811,30,One Way,Monthly Pass,standard
497811732,16,4/1/2025 8:17,4/1/2025 8:33,4632,33.986671,-118.440948,4579,33.984859,-118.431129,22089,30,One Way,Monthly Pass,electric
497811719,14,4/1/2025 8:19,4/1/2025 8:33,3047,34.039982,-118.266403,3035,34.048401,-118.260948,13641,30,One Way,Monthly Pass,standard
